"Section","Topic / Item","Description","Action / Link"
"WELCOME","BioDYM Tool","The BioDYM (Biomass Dynamic Material Flow Analysis) Tool is designed for researchers of all experience levels to model biomass systems without needing to code. This sheet is your guide.","[YOUR LOGO HERE]"
"WELCOME","Version & Contact","Version 2.2 | Last Updated: 2025-10-14","Contact: your.email@example.com"
"WORKFLOW GUIDE","Stage 1: Define System","Define the building blocks of your model: your processes and the flows between them. This is the foundation of your analysis.","Sheets: 2_1_Definition_Processes, 1_1_Definition_Flows"
"WORKFLOW GUIDE","Stage 2: Enter Data","Input the quantities for your flows and the rules (Transfer Coefficients) for how they are transformed or split by processes.","Sheets: 1_2_Data_Flows, 2_2_static_TCs, 2_3_dynamic_TCs"
"WORKFLOW GUIDE","Stage 3: Configure & Run","Set up advanced models like Dynamic Stocks (DSM) or First-Order Mass Pools (FOMP) if needed, then run the analysis in the Python notebook.","Sheets: 3_1_Definition_DSM, 3_2_Definition_FOMP"
"QUICK START","Step 1: Define Processes","List all the processes in your system (e.g., 'Harvesting', 'Composting'). Assign a 'Process_Logic' to determine how each one behaves.","=HYPERLINK(""#'2_1_Definition_Processes'!A1"",""Go to Sheet →"")"
"QUICK START","Step 2: Define Flows","List all the materials and elements that move between your processes. Define their composition (e.g., Water Content, Carbon Content).","=HYPERLINK(""#'1_1_Definition_Flows'!A1"",""Go to Sheet →"")"
"QUICK START","Step 3: Enter Flow Data","Enter the known values (e.g., in tonnes) for the flows you defined in Step 2. These are the inputs to your model.","=HYPERLINK(""#'1_2_Data_Flows'!A1"",""Go to Sheet →"")"
"QUICK START","Step 4: Set Transfer Coefficients (TCs)","For each process, define how flows are split or transformed. Use 'static_TCs' for simple material splits and 'dynamic_TCs' for changes in elemental composition.","=HYPERLINK(""#'2_2_static_TCs'!A1"",""Go to Sheets →"")"
"QUICK START","Step 5: Run the Analysis","Once your data is entered, open the 'BioDYM_Scientific_Notebook.ipynb' and run the cells to perform the MFA calculations and generate results.","External: Python Notebook"
"SHEET OVERVIEW","1_1_Definition_Flows","Purpose: Define all material and element flows. Key Fields: Flow_ID, Flow_Name, Flow_WC[%], Flow_DM[%], Flow_CC_DM[%]","=HYPERLINK(""#'1_1_Definition_Flows'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","1_2_Data_Flows","Purpose: Enter measured or estimated data for flows. Key Fields: Flow_ID, Amount, Unit","=HYPERLINK(""#'1_2_Data_Flows'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","2_1_Definition_Processes","Purpose: Define all processes and their behavior. Key Fields: Process_ID, Process_Name, Process_Logic","=HYPERLINK(""#'2_1_Definition_Processes'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","2_2_static_TCs","Purpose: Define material flow TCs (composition doesn't change). Key Fields: Process_ID, Flow_ID, TC_Value","=HYPERLINK(""#'2_2_static_TCs'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","2_3_dynamic_TCs","Purpose: Define element flow TCs (composition changes). Key Fields: Process_ID, Flow_ID, TC_Value","=HYPERLINK(""#'2_3_dynamic_TCs'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","2_4_Initial_Stock","Purpose: Define initial stock amounts for processes. Key Fields: Process_ID, Stock_Amount","=HYPERLINK(""#'2_4_Initial_Stock'!A1"",""Go to Sheet →"")"
"SHEET OVERVIEW","3_1_Definition_DSM","Purpose: Configure Dynamic Stock Management models. Key Fields: DSM_Parameter_type, DSM_Value","=HYPERLINK(""#'3_1_Definition_DSM'!A1"",""Go to Sheet →"")"
